Air Rotory Services (PTY) LTD  |  Prepared by:  Air Rotory Services (Pty) Ltd,,,,
Invoices for Sales Analysis Codes : 01/11/2025 - 30/11/2025,,,,
Tax Invoice : IN116656  Customer : CAS001  Cash Sales,"R5,830.00",,,
Tax Invoice : IN116657  Customer : WOO001  Woodlands Dairy (Pty) Ltd,"R17,603.40",,,
Tax Invoice : IN116658  Customer : BUS002  Southern Point Resources,"R111,401.29",,,
Tax Invoice : IN116659  Customer : BUS002  Southern Point Resources,"R79,483.01",,,
Tax Invoice : IN116660  Customer : RHO001  RFG Foods(PTY) LTD,"R6,980.10",,,
Tax Invoice : IN116661  Customer : CAS001  Cash Sales,"R20,773.50",,,
Tax Invoice : IN116662  Customer : CAS001  Cash Sales,"R10,065.00",,,
Tax Invoice : IN116663  Customer : CAS001  Cash Sales,"R53,150.29",,,
Tax Invoice : IN116664  Customer : CAS001  Cash Sales,"R20,250.00",,,
Tax Invoice : IN116665  Customer : SAP001  Sappi Southern Africa Limited,"R24,851.40",,,
Tax Invoice : IN116666  Customer : WIR001  Clear Creek Trading 167 (PTY) LTD t/a,"R4,261.90",,,
Tax Invoice : IN116667  Customer : CKB001  C & K Boilermaking,"R9,240.00",,,
Tax Invoice : IN116668  Customer : PPC001  PPC Cement SA (PTY) LTD,"R13,120.00",,,
Tax Invoice : IN116669  Customer : PLA002  Plantcor Mining & Plant Hire (Pty) Ltd,"R61,027.62",,,
Tax Invoice : IN116670  Customer : KHU001  Khulasonke Rebuild (Pty) Ltd,"R19,406.08",,,
Tax Invoice : IN116671  Customer : KHU001  Khulasonke Rebuild (Pty) Ltd,"R76,139.56",,,
Tax Invoice : IN116672  Customer : KHU001  Khulasonke Rebuild (Pty) Ltd,"R76,139.56",,,
Tax Invoice : IN116673  Customer : NOR001  Northam Platinum Ltd,"R22,800.06",,,
Tax Invoice : IN116674  Customer : NOR003  Eland Platinum (Pty) Ltd,"R694,465.47",,,
Tax Invoice : IN116675  Customer : GAY002  Stile It (Pty) Ltd,"R937,458.66",,,
Tax Invoice : IN116676  Customer : NOR003  Eland Platinum (Pty) Ltd,"R142,495.90",,,
Tax Invoice : IN116677  Customer : CAS001  Cash Sales,"R4,715.93",,,
Tax Invoice : IN116678  Customer : GLO003  Global Wheel (Pty) Ltd,"R9,240.00",,,
Tax Invoice : IN116679  Customer : CAS001  Cash Sales,"R95,322.47",,,
Tax Invoice : IN116680  Customer : CAS001  Cash Sales,"R26,467.63",,,
Tax Invoice : IN116681  Customer : CAS001  Cash Sales,"R62,738.96",,,
Tax Invoice : IN116682  Customer : RHO001  RFG Foods(PTY) LTD,"R7,949.41",,,
Tax Invoice : IN116683  Customer : TRO001  Tronox Mineral Sands (Pty) Ltd,"R10,541.44",,,
Tax Invoice : IN116684  Customer : TWI001  Main Street 1310 Pty Ltd t/a Twinsaver,"R16,405.85",,,
Tax Invoice : IN116685  Customer : RHO001  RFG Foods(PTY) LTD,"R17,605.52",,,
Tax Invoice : IN116686  Customer : RHO001  RFG Foods(PTY) LTD,"R16,645.65",,,
Tax Invoice : IN116687  Customer : RHO001  RFG Foods(PTY) LTD,"R16,645.65",,,
Tax Invoice : IN116688  Customer : GAY004  Gayatri Cans (PTY LTD,"R46,664.77",,,
Tax Invoice : IN116689  Customer : WEL002  Wellington Wines (Pty) Ltd,"R45,147.91",,,
Tax Invoice : IN116690  Customer : ING001  Ingrain SA (Pty) Ltd,"R7,379.84",,,
Tax Invoice : IN116691  Customer : CAS001  Cash Sales,"R10,939.18",,,
Tax Invoice : IN116692  Customer : TIA001  TI Group Automotive Systems (SA) (Pty),"R2,638.58",,,
Tax Invoice : IN116693  Customer : SAP001  Sappi Southern Africa Limited,"R66,498.50",,,
Tax Invoice : IN116694  Customer : MTH001  Mthembu Paper Mill (Pty) Ltd,"R68,400.53",,,
Tax Invoice : IN116695  Customer : CAS001  Cash Sales,"R28,397.69",,,
Tax Invoice : IN116696  Customer : CAS001  Cash Sales,"R96,915.60",,,
Tax Invoice : IN116697  Customer : CAS001  Cash Sales,"R14,400.00",,,
Tax Invoice : IN116698  Customer : GAY001  Gayatri Cans (Pty) Ltd,"R5,835.00",,,
Tax Invoice : IN116699  Customer : NEW003  New Era Packaging BOPS (PTY) LTD,"R10,051.25",,,
Tax Invoice : IN116700  Customer : KLI001  Klinger (PTY) LTD,"R5,438.44",,,
Tax Invoice : IN116701  Customer : KLI001  Klinger (PTY) LTD,"R15,103.68",,,
Tax Invoice : IN116702  Customer : PAR003  Lactalis SA (PTY) LTD - Kyalami,"R4,245.00",,,
Tax Invoice : IN116703  Customer : DEC001  Deckel Sportslid (Pty) Ltd.,"R35,963.24",,,
Tax Invoice : IN116704  Customer : GLO002  Global Roofing Solutions (Pty) Ltd,"R19,971.82",,,
Tax Invoice : IN116705  Customer : MAC003  MacDonald's Transport Upington (Pty) Ltd,"R8,881.79",,,
Tax Invoice : IN116706  Customer : BAR001  Barloworld Equipment (Pty) Ltd,"R13,933.60",,,
Tax Invoice : IN116707  Customer : CAS001  Cash Sales,"R4,331.01",,,
Tax Invoice : IN116708  Customer : CAS001  Cash Sales,"R8,779.38",,,
Tax Invoice : IN116709  Customer : LOR001  Loreal,"R9,961.35",,,
Tax Invoice : IN116710  Customer : DEC001  Deckel Sportslid (Pty) Ltd.,"R3,877.90",,,
Tax Invoice : IN116711  Customer : BAR001  Barloworld Equipment (Pty) Ltd,"R35,203.50",,,
Tax Invoice : IN116712  Customer : BAR001  Barloworld Equipment (Pty) Ltd,"R56,083.50",,,
Tax Invoice : IN116713  Customer : AST001  Astral Operations LTD t/a Goldi  a Div,"R132,478.96",,,
Tax Invoice : IN116714  Customer : CAS001  Cash Sales,"R11,700.00",,,
Tax Invoice : IN116715  Customer : GOL004  New Era Labels (BOPS) PTY LTD,"R377,342.00",,,
Tax Invoice : IN116716  Customer : PPC001  PPC Cement SA (PTY) LTD,"R16,760.12",,,
Tax Invoice : IN116717  Customer : PLA002  Plantcor Mining & Plant Hire (Pty) Ltd,"R80,000.34",,,
Tax Invoice : IN116718  Customer : XST010  Rhovan Pooling & Sharing Venture,"R18,709.00",,,
Tax Invoice : IN116719  Customer : MIN001  Minerals Operations Executive (PTY) LTD,"R10,052.00",,,
Tax Invoice : IN116720  Customer : KEY001  Keystone Milling Co (Pty) Ltd,"R6,086.24",,,
Tax Invoice : IN116721  Customer : KEY001  Keystone Milling Co (Pty) Ltd,"R9,281.04",,,
Tax Invoice : IN116722  Customer : XST010  Rhovan Pooling & Sharing Venture,"R17,596.00",,,
Tax Invoice : IN116723  Customer : CAS001  Cash Sales,"R243,406.66",,,
Tax Invoice : IN116724  Customer : VOL002  Volvo Group Southern Africa (Pty) Ltd,"R9,335.60",,,
Tax Invoice : IN116725  Customer : ING001  Ingrain SA (Pty) Ltd,"R9,548.10",,,
Tax Invoice : IN116726  Customer : ING001  Ingrain SA (Pty) Ltd,"R75,000.00",,,
Tax Invoice : IN116727  Customer : CAS001  Cash Sales,"R332,997.33",,,
Tax Invoice : IN116728  Customer : CAS001  Cash Sales,"R12,002.02",,,
Tax Invoice : IN116729  Customer : CAS001  Cash Sales,"R69,286.65",,,
Tax Invoice : IN116730  Customer : ING001  Ingrain SA (Pty) Ltd,"R22,190.00",,,
Tax Invoice : IN116731  Customer : ACT002  Actom (Pty) Ltd t/a John Thompson,"R76,184.04",,,
Tax Invoice : IN116732  Customer : ING001  Ingrain SA (Pty) Ltd,"R8,720.00",,,
Tax Invoice : IN116733  Customer : ACT002  Actom (Pty) Ltd t/a John Thompson,"R22,522.90",,,
Tax Invoice : IN116734  Customer : ING001  Ingrain SA (Pty) Ltd,"R5,334.04",,,
Tax Invoice : IN116735  Customer : ING001  Ingrain SA (Pty) Ltd,"R7,187.50",,,
Tax Invoice : IN116736  Customer : ISA001  Isando Foods (Pty) Ltd,"R10,538.00",,,
Tax Invoice : IN116737  Customer : CHA001  Champ Foods Manufacturing cc,"R12,670.10",,,
Tax Invoice : IN116738  Customer : ENG002  Engen Refinery A Division of Engen,"R115,275.60",,,
Tax Invoice : IN116739  Customer : CAS001  Cash Sales,"R17,100.00",,,
Tax Invoice : IN116740  Customer : SPR001  Spress Rentals (Pty) Ltd,"R20,959.60",,,
Tax Invoice : IN116741  Customer : PLA002  Plantcor Mining & Plant Hire (Pty) Ltd,"R5,340.00",,,
Tax Invoice : IN116742  Customer : PLA002  Plantcor Mining & Plant Hire (Pty) Ltd,"R18,917.80",,,
Tax Invoice : IN116743  Customer : WIR001  Clear Creek Trading 167 (PTY) LTD t/a,"R544,068.45",,,
Tax Invoice : IN116744  Customer : MAC003  MacDonald's Transport Upington (Pty) Ltd,"R8,689.66",,,
Tax Invoice : IN116745  Customer : PRE002  Premium Ideas,"R16,377.32",,,
Tax Invoice : IN116746  Customer : TIA001  TI Group Automotive Systems (SA) (Pty),"R21,627.28",,,
Tax Invoice : IN116747  Customer : CAS001  Cash Sales,"R28,817.87",,,
Tax Invoice : IN116748  Customer : CAS001  Cash Sales,"R27,268.85",,,
Tax Invoice : IN116749  Customer : ILP001  Ilpea South African Industries (Pty) Ltd,"R43,076.58",,,
Tax Invoice : IN116750  Customer : WEL002  Wellington Wines (Pty) Ltd,"R28,079.41",,,
Tax Invoice : IN116751  Customer : WEL002  Wellington Wines (Pty) Ltd,"R32,603.81",,,
Tax Invoice : IN116752  Customer : ABB001  Abbott Laboratories SA (PTY) LTD,"R23,917.07",,,
Tax Invoice : IN116753  Customer : LAN002  Landis + Gyr (PTY) LTD,"R20,173.58",,,
Tax Invoice : IN116754  Customer : TIA001  TI Group Automotive Systems (SA) (Pty),"R19,795.78",,,
Tax Invoice : IN116755  Customer : RAI001  RCL Foods Consumer (Pty) Ltd,"R11,673.42",,,
Tax Invoice : IN116756  Customer : RAI001  RCL Foods Consumer (Pty) Ltd,"R7,439.92",,,
Tax Invoice : IN116757  Customer : CAS001  Cash Sales,"R11,995.14",,,
Tax Invoice : IN116758  Customer : NEW002  Mogwele Waste (PTY) LTD t/a New Era,"R28,683.47",,,
Tax Invoice : IN116759  Customer : GAY005  New Era P.P Sacks (BOP) (Pty) Ltd t/a,"R28,463.28",,,
Tax Invoice : IN116760  Customer : INT003  InterCement SA (PTY) LTD,"R62,188.05",,,
Tax Invoice : IN116761  Customer : SAP001  Sappi Southern Africa Limited,"R60,577.02",,,
Tax Invoice : IN116762  Customer : GOL003  New Era Packaging BOPS (Pty) Ltd,"R20,500.00",,,
Tax Invoice : IN116763  Customer : NEW003  New Era Packaging BOPS (PTY) LTD,"R15,006.41",,,
Tax Invoice : IN116764  Customer : GAY001  Gayatri Cans (Pty) Ltd,"R25,979.60",,,
Tax Invoice : IN116765  Customer : NEW003  New Era Packaging BOPS (PTY) LTD,"R21,461.13",,,
Tax Invoice : IN116766  Customer : GOL003  New Era Packaging BOPS (Pty) Ltd,"R29,239.25",,,
Tax Invoice : IN116767  Customer : ELE001  Element Six (Production) (PTY) LTD,"R36,269.02",,,
Tax Invoice : IN116768  Customer : ING001  Ingrain SA (Pty) Ltd,"R188,567.78",,,
Tax Invoice : IN116769  Customer : ISA001  Isando Foods (Pty) Ltd,"R22,294.77",,,
Tax Invoice : IN116770  Customer : ISA001  Isando Foods (Pty) Ltd,"R9,713.42",,,
Tax Invoice : IN116771  Customer : ISA001  Isando Foods (Pty) Ltd,"R56,077.03",,,
Tax Invoice : IN116772  Customer : GOL006  Golden Era Printers & Stationers Bops,"R28,671.08",,,
Tax Invoice : IN116773  Customer : GOL004  New Era Labels (BOPS) PTY LTD,"R13,599.75",,,
Tax Invoice : IN116774  Customer : GAY003  Gayatri Paper Mills (PTY) LTD,"R49,333.24",,,
Tax Invoice : IN116775  Customer : GAY001  Gayatri Cans (Pty) Ltd,"R33,781.03",,,
Tax Invoice : IN116776  Customer : GOL002  Golden Era Printers & Stationers (Bops),"R33,781.03",,,
Tax Invoice : IN116777  Customer : ABB001  Abbott Laboratories SA (PTY) LTD,"R11,261.94",,,
Tax Invoice : IN116778  Customer : RHO001  RFG Foods(PTY) LTD,"R53,319.92",,,
Tax Invoice : IN116779  Customer : ABB001  Abbott Laboratories SA (PTY) LTD,"R11,250.06",,,
Tax Invoice : IN116780  Customer : MAN001  MAN Automotive (SA) (Pty) Ltd,"R34,222.07",,,
Tax Invoice : IN116781  Customer : PRE002  Premium Ideas,"R22,483.49",,,
Tax Invoice : IN116782  Customer : GAY001  Gayatri Cans (Pty) Ltd,"R47,781.41",,,
Tax Invoice : IN116783  Customer : GOL006  Golden Era Printers & Stationers Bops,"R154,291.00",,,
Tax Invoice : IN116784  Customer : GZI001  GZ Industries SA (Pty) Ltd,"R83,722.81",,,
Tax Invoice : IN116785  Customer : TIA001  TI Group Automotive Systems (SA) (Pty),"R15,463.30",,,
Tax Invoice : IN116786  Customer : GOL002  Golden Era Printers & Stationers (Bops),"R34,975.68",,,
Tax Invoice : IN116787  Customer : GAY001  Gayatri Cans (Pty) Ltd,"R26,256.91",,,
Tax Invoice : IN116788  Customer : MAC004  Machinery Contractors (Pty) Ltd,"R10,720.21",,,
Tax Invoice : IN116789  Customer : KIC001  KIC SA (Pty) Ltd,"R110,000.00",,,
Tax Invoice : IN116790  Customer : UKH001  Ukhuni Business Furniture (Pty) Ltd,"R31,984.00",,,
Tax Invoice : IN116791  Customer : UKH001  Ukhuni Business Furniture (Pty) Ltd,"R21,490.00",,,
Tax Invoice : IN116792  Customer : GAY000  Indabingi Sithole (Pty) Ltd t/a Gayatri,"R436,714.00",,,
Tax Invoice : IN116793  Customer : GAY001  Gayatri Cans (Pty) Ltd,"R33,781.03",,,
Tax Invoice : IN116794  Customer : GAY001  Gayatri Cans (Pty) Ltd,"R26,256.91",,,
Tax Invoice : IN116795  Customer : ING001  Ingrain SA (Pty) Ltd,"R61,506.40",,,
Tax Invoice : IN116796  Customer : CAS001  Cash Sales,"R22,762.97",,,
Tax Invoice : IN116797  Customer : GRI001  GRI Wind Steel South Africa (Pty) Ltd,"R60,403.46",,,
Tax Invoice : IN116798  Customer : WEL002  Wellington Wines (Pty) Ltd,"R25,089.54",,,
Tax Invoice : IN116799  Customer : RHO001  RFG Foods(PTY) LTD,"R78,696.20",,,
Tax Invoice : IN116800  Customer : BAR001  Barloworld Equipment (Pty) Ltd,"R2,868.27",,,
Tax Invoice : IN116801  Customer : ING001  Ingrain SA (Pty) Ltd,"R66,048.90",,,
Tax Invoice : IN116802  Customer : ING001  Ingrain SA (Pty) Ltd,"R44,010.44",,,
Tax Invoice : IN116803  Customer : CAS001  Cash Sales,"R43,092.40",,,
Tax Invoice : IN116804  Customer : PAR008  Lactalis SA (PTY) LTD - PE,"R30,778.65",,,
Tax Invoice : IN116805  Customer : EVE001  Eveready (Pty) Ltd,"R21,173.24",,,
Total,"R11,560,451.71",,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
